web-scraper-order,web-scraper-start-url,companyName,industry,marketCap
"1700801043-4242","https://www.etmoney.com/stocks/list-of-stocks","Hathway Cable & Datacom Ltd.
                                            HATHWAY","Broadcasting & Entertainment","₹3540.21 Crs"
"1700801043-4243","https://www.etmoney.com/stocks/list-of-stocks","Hatsun Agro Products Ltd.
                                            HATSUN","Food Products","₹24257.34 Crs"
"1700801043-4244","https://www.etmoney.com/stocks/list-of-stocks","Havells India Ltd.
                                            HAVELLS","Electrical - Equipment/components","₹81531.46 Crs"
"1700801043-4245","https://www.etmoney.com/stocks/list-of-stocks","Heads UP Ventures Ltd.
                                            HEADSUP","Apparels","₹28.71 Crs"
"1700801043-4246","https://www.etmoney.com/stocks/list-of-stocks","Healthcare Global Enterprises Ltd.
                                            HCG","Hospitals & Diagnostic Centres","₹5013.19 Crs"
"1700801043-4247","https://www.etmoney.com/stocks/list-of-stocks","Heidelberg Cement India Ltd.
                                            HEIDELBERG","Cement","₹4396.29 Crs"
"1700801043-4248","https://www.etmoney.com/stocks/list-of-stocks","Hemisphere Properties India Ltd.
                                            HEMIPROP","Real Estate","₹3961.5 Crs"
"1700801043-4249","https://www.etmoney.com/stocks/list-of-stocks","Heranba Industries Ltd.
                                            HERANBA","Agro Chemicals & Fertilizers","₹1424.48 Crs"
"1700801043-4250","https://www.etmoney.com/stocks/list-of-stocks","Hercules Hoists Ltd.
                                            HERCULES","Industrial Machinery, Equipment & Goods","₹1155.2 Crs"
"1700801043-4251","https://www.etmoney.com/stocks/list-of-stocks","Heritage Foods Ltd.
                                            HERITGFOOD","Food Products","₹2264.22 Crs"
"1700801043-4252","https://www.etmoney.com/stocks/list-of-stocks","Hero MotoCorp Ltd.
                                            HEROMOTOCO","Auto - 2 & 3 Wheelers","₹71319.74 Crs"
"1700801043-4253","https://www.etmoney.com/stocks/list-of-stocks","Hester Biosciences Ltd.
                                            HESTERBIO","Biotechnology & Medical Research","₹1308.36 Crs"
"1700801043-4254","https://www.etmoney.com/stocks/list-of-stocks","Heubach Colorants India Ltd.
                                            HEUBACHIND","Speciality Chemicals","₹1193.33 Crs"
"1700801043-4255","https://www.etmoney.com/stocks/list-of-stocks","Hexa Tradex Ltd.
                                            HEXATRADEX","Trading & Distribution","₹812.1 Crs"
"1700801043-4256","https://www.etmoney.com/stocks/list-of-stocks","Hi-Tech Pipes Ltd.
                                            HITECH","Tubes & Pipes","₹1507.4 Crs"
"1700801043-4257","https://www.etmoney.com/stocks/list-of-stocks","Hikal Ltd.
                                            HIKAL","Pharmaceuticals","₹3316.79 Crs"
"1700801043-4258","https://www.etmoney.com/stocks/list-of-stocks","Hilton Metal Forging Ltd.
                                            HILTON","Industrial Machinery, Equipment & Goods","₹296.1 Crs"
"1700801043-4259","https://www.etmoney.com/stocks/list-of-stocks","Himadri Speciality Chemical Ltd.
                                            HSCL","Commodity Chemicals","₹11458.06 Crs"
"1700801043-4260","https://www.etmoney.com/stocks/list-of-stocks","Himatsingka Seide Ltd.
                                            HIMATSEIDE","Textiles","₹1683.62 Crs"
